N=2,N=5,N=8,N=10
-2.50E-01,2.19E-01,8.98E-02,1.04E-01
-2.50E-01,2.19E-01,8.99E-02,1.05E-01
-2.50E-01,2.19E-01,8.99E-02,1.05E-01
-2.50E-01,2.19E-01,9.00E-02,1.05E-01
-2.50E-01,2.18E-01,9.00E-02,1.05E-01
-2.50E-01,2.18E-01,9.00E-02,1.05E-01
-2.50E-01,2.18E-01,9.00E-02,1.05E-01
-2.50E-01,2.18E-01,9.01E-02,1.05E-01
-2.50E-01,2.18E-01,9.01E-02,1.05E-01
-2.50E-01,2.18E-01,9.01E-02,1.05E-01
-2.50E-01,2.18E-01,9.01E-02,1.05E-01
-2.50E-01,2.18E-01,9.02E-02,1.05E-01
-2.50E-01,2.18E-01,9.02E-02,1.05E-01
-2.50E-01,2.18E-01,9.02E-02,1.05E-01
-2.50E-01,2.18E-01,9.02E-02,1.05E-01
-2.50E-01,2.18E-01,9.02E-02,1.05E-01
-2.50E-01,2.18E-01,9.03E-02,1.05E-01
-2.50E-01,2.18E-01,9.03E-02,1.05E-01
-2.50E-01,2.18E-01,9.03E-02,1.05E-01
-2.50E-01,2.18E-01,9.03E-02,1.05E-01
-2.50E-01,2.18E-01,9.03E-02,1.05E-01
-2.49E-01,2.18E-01,9.04E-02,1.05E-01
-2.49E-01,2.18E-01,9.04E-02,1.05E-01
-2.49E-01,2.18E-01,9.04E-02,1.05E-01
-2.49E-01,2.18E-01,9.04E-02,1.05E-01
-2.49E-01,2.18E-01,9.04E-02,1.05E-01
-2.49E-01,2.18E-01,9.04E-02,1.05E-01
-2.49E-01,2.18E-01,9.05E-02,1.05E-01
-2.49E-01,2.18E-01,9.05E-02,1.05E-01
-2.49E-01,2.18E-01,9.05E-02,1.05E-01
-2.49E-01,2.18E-01,9.05E-02,1.05E-01
-2.49E-01,2.18E-01,9.05E-02,1.05E-01
-2.49E-01,2.18E-01,9.05E-02,1.05E-01
-2.49E-01,2.18E-01,9.06E-02,1.05E-01
-2.49E-01,2.17E-01,9.06E-02,1.05E-01
-2.49E-01,2.17E-01,9.06E-02,1.05E-01
-2.49E-01,2.17E-01,9.06E-02,1.05E-01
-2.49E-01,2.17E-01,9.06E-02,1.05E-01
-2.49E-01,2.17E-01,9.06E-02,1.05E-01
-2.49E-01,2.17E-01,9.07E-02,1.05E-01
-2.49E-01,2.17E-01,9.07E-02,1.05E-01
-2.49E-01,2.17E-01,9.07E-02,1.05E-01
-2.49E-01,2.17E-01,9.07E-02,1.05E-01
-2.49E-01,2.17E-01,9.07E-02,1.05E-01
-2.49E-01,2.17E-01,9.07E-02,1.05E-01
-2.49E-01,2.17E-01,9.07E-02,1.05E-01
-2.49E-01,2.17E-01,9.08E-02,1.05E-01
-2.49E-01,2.17E-01,9.08E-02,1.05E-01
-2.49E-01,2.17E-01,9.08E-02,1.05E-01
-2.49E-01,2.17E-01,9.08E-02,1.05E-01
-2.49E-01,2.17E-01,9.08E-02,1.05E-01
-2.49E-01,2.17E-01,9.08E-02,1.05E-01
-2.49E-01,2.17E-01,9.08E-02,1.05E-01
-2.49E-01,2.17E-01,9.09E-02,1.05E-01
-2.49E-01,2.17E-01,9.09E-02,1.05E-01
-2.49E-01,2.17E-01,9.09E-02,1.05E-01
-2.49E-01,2.17E-01,9.09E-02,1.05E-01
-2.49E-01,2.17E-01,9.09E-02,1.05E-01
-2.49E-01,2.17E-01,9.09E-02,1.05E-01
-2.49E-01,2.17E-01,9.09E-02,1.05E-01
-2.49E-01,2.17E-01,9.10E-02,1.05E-01
-2.49E-01,2.17E-01,9.10E-02,1.05E-01
-2.49E-01,2.17E-01,9.10E-02,1.05E-01
-2.49E-01,2.17E-01,9.10E-02,1.05E-01
-2.49E-01,2.17E-01,9.10E-02,1.05E-01
-2.49E-01,2.17E-01,9.10E-02,1.05E-01
-2.49E-01,2.17E-01,9.10E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.17E-01,9.11E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.12E-02,1.05E-01
-2.49E-01,2.16E-01,9.13E-02,1.05E-01
-2.49E-01,2.16E-01,9.13E-02,1.05E-01
-2.49E-01,2.16E-01,9.13E-02,1.05E-01
-2.49E-01,2.16E-01,9.13E-02,1.05E-01
-2.49E-01,2.16E-01,9.13E-02,1.05E-01
-2.49E-01,2.16E-01,9.13E-02,1.05E-01
-2.49E-01,2.16E-01,9.13E-02,1.05E-01
-2.48E-01,2.16E-01,9.13E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.14E-02,1.05E-01
-2.48E-01,2.16E-01,9.15E-02,1.05E-01
